Cluster Size, Frequency
1, 690126
2, 53273
3, 16264
4, 8093
5, 5082
6, 3617
7, 2936
8, 2421
9, 2050
10, 1848
11, 1721
12, 1530
13, 1370
14, 1307
15, 1095
16, 1058
17, 1036
18, 935
19, 818
20, 742
21, 634
22, 678
23, 572
24, 496
25, 444
26, 428
27, 374
28, 298
29, 276
30, 237
31, 218
32, 212
33, 175
34, 150
35, 135
36, 117
37, 108
38, 101
39, 69
40, 77
41, 56
42, 59
43, 58
44, 57
45, 39
46, 38
47, 42
48, 31
49, 24
50, 31
51, 17
52, 26
53, 19
54, 23
55, 17
56, 17
57, 22
58, 13
59, 7
60, 10
61, 13
62, 7
63, 16
64, 8
65, 7
66, 9
67, 4
68, 8
69, 3
70, 8
71, 6
72, 8
73, 4
74, 6
75, 2
76, 2
77, 6
78, 3
79, 5
80, 4
81, 6
82, 4
83, 3
84, 5
85, 5
86, 2
87, 4
88, 2
89, 4
90, 2
92, 1
93, 4
94, 3
95, 1
96, 1
97, 1
98, 2
101, 1
102, 2
103, 1
104, 1
106, 1
107, 1
108, 1
110, 2
118, 1
120, 1
125, 1
131, 2
145, 1
159, 1
162, 1
167, 1
184, 1
202, 1
217, 1
