Cluster Size, Frequency
1, 690403
2, 53115
3, 16194
4, 8105
5, 5041
6, 3626
7, 2943
8, 2425
9, 2123
10, 1852
11, 1667
12, 1567
13, 1408
14, 1228
15, 1173
16, 1080
17, 1011
18, 922
19, 783
20, 757
21, 683
22, 659
23, 554
24, 505
25, 484
26, 405
27, 384
28, 284
29, 250
30, 240
31, 251
32, 171
33, 180
34, 149
35, 144
36, 124
37, 104
38, 94
39, 64
40, 78
41, 69
42, 57
43, 55
44, 52
45, 43
46, 40
47, 33
48, 29
49, 28
50, 29
51, 20
52, 21
53, 19
54, 24
55, 20
56, 18
57, 12
58, 12
59, 8
60, 12
61, 11
62, 10
63, 12
64, 11
65, 6
66, 7
67, 9
68, 5
69, 5
70, 5
71, 7
72, 7
73, 7
74, 5
75, 2
76, 2
77, 2
78, 4
79, 7
80, 4
81, 4
82, 4
83, 7
84, 3
85, 3
86, 8
87, 4
88, 3
90, 1
91, 3
92, 1
93, 2
94, 1
95, 1
96, 2
97, 1
98, 1
99, 1
102, 1
103, 3
107, 2
108, 1
110, 1
115, 1
116, 1
120, 1
124, 1
130, 1
134, 1
143, 1
160, 1
163, 1
165, 1
185, 1
202, 1
216, 1
