Cluster Size, Frequency
1, 741685
2, 50520
3, 13860
4, 6124
5, 3308
6, 2083
7, 1479
8, 1044
9, 775
10, 632
11, 518
12, 466
13, 397
14, 305
15, 286
16, 264
17, 251
18, 187
19, 174
20, 168
21, 157
22, 164
23, 130
24, 100
25, 114
26, 105
27, 105
28, 96
29, 86
30, 85
31, 59
32, 72
33, 85
34, 51
35, 60
36, 71
37, 73
38, 66
39, 62
40, 65
41, 64
42, 47
43, 53
44, 62
45, 54
46, 49
47, 53
48, 49
49, 39
50, 44
51, 53
52, 41
53, 40
54, 45
55, 49
56, 57
57, 57
58, 50
59, 46
60, 55
61, 36
62, 47
63, 43
64, 47
65, 54
66, 62
67, 47
68, 39
69, 60
70, 43
71, 45
72, 44
73, 49
74, 31
75, 48
76, 52
77, 49
78, 48
79, 36
80, 37
81, 47
82, 42
83, 49
84, 34
85, 58
86, 36
87, 35
88, 57
89, 36
90, 36
91, 41
92, 27
93, 37
94, 52
95, 53
96, 45
97, 38
98, 38
99, 38
100, 38
101, 29
102, 32
103, 37
104, 31
105, 40
106, 36
107, 33
108, 23
109, 32
110, 35
111, 35
112, 36
113, 38
114, 32
115, 27
116, 34
117, 32
118, 18
119, 28
120, 11
121, 29
122, 34
123, 30
124, 15
125, 30
126, 23
127, 30
128, 24
129, 19
130, 19
131, 17
132, 21
133, 16
134, 16
135, 20
136, 16
137, 21
138, 16
139, 22
140, 21
141, 15
142, 11
143, 18
144, 13
145, 14
146, 23
147, 13
148, 12
149, 16
150, 14
151, 11
152, 11
153, 9
154, 14
155, 8
156, 9
157, 8
158, 8
159, 15
160, 8
161, 6
162, 6
163, 9
164, 6
165, 13
166, 7
167, 9
168, 9
169, 3
170, 10
171, 2
172, 9
173, 4
174, 8
175, 6
176, 4
177, 5
178, 5
179, 6
180, 4
181, 4
182, 5
183, 5
184, 7
185, 2
186, 8
187, 1
188, 5
189, 6
190, 2
191, 4
192, 4
193, 6
194, 3
195, 1
196, 3
197, 4
198, 3
199, 4
200, 3
202, 4
203, 3
204, 1
205, 3
206, 2
207, 1
208, 4
209, 4
210, 2
211, 4
214, 3
216, 2
217, 3
219, 1
220, 2
221, 1
223, 1
225, 1
228, 1
230, 1
231, 1
232, 1
233, 3
234, 2
237, 2
238, 2
239, 1
241, 3
243, 1
244, 4
245, 1
246, 2
247, 1
250, 1
252, 2
258, 1
260, 1
262, 1
266, 2
267, 1
268, 1
272, 1
273, 1
274, 1
279, 1
282, 1
285, 1
286, 1
288, 1
291, 1
310, 1
315, 2
320, 2
324, 1
336, 1
354, 1
366, 1
378, 1
485, 1
507, 1



