Cluster Size, Frequency
1, 1309
2, 2625
3, 3613
4, 4469
5, 5394
6, 5914
7, 6141
8, 6451
9, 6536
10, 6688
11, 6650
12, 6735
13, 6424
14, 6263
15, 6289
16, 5997
17, 5782
18, 5651
19, 5508
20, 5450
21, 5131
22, 4892
23, 4822
24, 4610
25, 4420
26, 4316
27, 4060
28, 4055
29, 3925
30, 3654
31, 3566
32, 3508
33, 3188
34, 3181
35, 3238
36, 3000
37, 2794
38, 2779
39, 2622
40, 2524
41, 2472
42, 2362
43, 2273
44, 2080
45, 1936
46, 1974
47, 1870
48, 1764
49, 1776
50, 1667
51, 1603
52, 1537
53, 1398
54, 1434
55, 1416
56, 1299
57, 1215
58, 1222
59, 1141
60, 1181
61, 1070
62, 1003
63, 977
64, 988
65, 879
66, 850
67, 870
68, 829
69, 798
70, 756
71, 793
72, 714
73, 640
74, 649
75, 595
76, 633
77, 592
78, 550
79, 514
80, 507
81, 532
82, 480
83, 481
84, 437
85, 416
86, 431
87, 412
88, 428
89, 406
90, 364
91, 311
92, 325
93, 319
94, 317
95, 312
96, 306
97, 300
98, 287
99, 274
100, 9862



