Starting index build with R: 64  Lbuild: 100  alpha: 1.2  #threads: 48
L2: Using AVX2 distance computation DistanceL2Float
Using only first 1010812 from file.. 
Starting index build with 1010812 points... 

0% of index build completed.
9.89304% of index build completed.
19.7861% of index build completed.
29.6791% of index build completed.
39.5721% of index build completed.
49.4652% of index build completed.
59.3582% of index build completed.
69.2513% of index build completed.
79.1443% of index build completed.
89.0373% of index build completed.
98.9304% of index build completed.Starting final cleanup..done. Link time: 101.677s
Total number of clusters: 134671
Cluster Sizes:
Cluster ID: 402456, Size: 1
Cluster ID: 401705, Size: 1
Cluster ID: 400194, Size: 1
Cluster ID: 398260, Size: 1
Cluster ID: 401076, Size: 1
Cluster ID: 397509, Size: 1
Cluster ID: 394956, Size: 1
Cluster ID: 394744, Size: 1
Cluster ID: 393602, Size: 1
Cluster ID: 392631, Size: 1
Cluster ID: 389809, Size: 1
Cluster ID: 406683, Size: 1
Cluster ID: 385924, Size: 1
Cluster ID: 385690, Size: 1
Cluster ID: 385639, Size: 1
Cluster ID: 410525, Size: 1
Cluster ID: 405098, Size: 1
Cluster ID: 402870, Size: 1
Cluster ID: 401371, Size: 1
Cluster ID: 400479, Size: 1
Cluster ID: 399474, Size: 1
Cluster ID: 399399, Size: 1
Cluster ID: 410560, Size: 1
Cluster ID: 397359, Size: 1
Cluster ID: 394975, Size: 1
Cluster ID: 394191, Size: 1
Cluster ID: 393308, Size: 1
Cluster ID: 391166, Size: 1
Cluster ID: 390721, Size: 1
Cluster ID: 389994, Size: 1
Cluster ID: 389450, Size: 1
Cluster ID: 386722, Size: 1
Cluster ID: 386416, Size: 1
Cluster ID: 385534, Size: 1
Cluster ID: 385450, Size: 1
Cluster ID: 409159, Size: 1
Cluster ID: 406287, Size: 1
Cluster ID: 403155, Size: 1
Cluster ID: 400198, Size: 1
Cluster ID: 399588, Size: 1
Cluster ID: 396978, Size: 1
Cluster ID: 399400, Size: 1
Cluster ID: 392710, Size: 1
Cluster ID: 384504, Size: 1
Cluster ID: 384465, Size: 1
Cluster ID: 384354, Size: 1
Cluster ID: 411313, Size: 1
Cluster ID: 404877, Size: 1
Cluster ID: 400001, Size: 1
Cluster ID: 399655, Size: 1
Cluster ID: 398823, Size: 1
Cluster ID: 413611, Size: 2
Cluster ID: 414046, Size: 1
Cluster ID: 396980, Size: 2
Cluster ID: 396348, Size: 1
Cluster ID: 394676, Size: 1
Cluster ID: 394297, Size: 1
Cluster ID: 393158, Size: 1
Cluster ID: 392655, Size: 1
Cluster ID: 391775, Size: 1
Cluster ID: 389419, Size: 1
Cluster ID: 388350, Size: 1
Cluster ID: 387954, Size: 1
Cluster ID: 387439, Size: 1
Cluster ID: 387372, Size: 1
Cluster ID: 391708, Size: 1
Cluster ID: 385455, Size: 1
Cluster ID: 401988, Size: 1
Cluster ID: 399491, Size: 1
Cluster ID: 399386, Size: 1
Cluster ID: 399062, Size: 1
Cluster ID: 396291, Size: 1
Cluster ID: 396190, Size: 1
Cluster ID: 394682, Size: 1
Cluster ID: 393834, Size: 1
Cluster ID: 404635, Size: 1
Cluster ID: 392406, Size: 1
Cluster ID: 391921, Size: 1
Cluster ID: 391096, Size: 1
Cluster ID: 388016, Size: 1
Cluster ID: 385621, Size: 1
Cluster ID: 385426, Size: 1
Cluster ID: 385150, Size: 1
Cluster ID: 384281, Size: 1
Cluster ID: 397876, Size: 1
Cluster ID: 395600, Size: 1
Cluster ID: 401156, Size: 1
Cluster ID: 393364, Size: 2
Cluster ID: 389484, Size: 1
Cluster ID: 388608, Size: 1
Cluster ID: 388451, Size: 1
Cluster ID: 404678, Size: 1
Cluster ID: 404119, Size: 1
Cluster ID: 399653, Size: 1
Cluster ID: 397732, Size: 1
Cluster ID: 395607, Size: 1
Cluster ID: 395315, Size: 2
Cluster ID: 395119, Size: 1
Cluster ID: 393918, Size: 1
Cluster ID: 390849, Size: 1
Cluster ID: 390587, Size: 1
Cluster ID: 390567, Size: 1
Cluster ID: 389226, Size: 1
Cluster ID: 388150, Size: 1
Cluster ID: 386476, Size: 1
Cluster ID: 385687, Size: 1
Cluster ID: 385053, Size: 1
Cluster ID: 411599, Size: 1
Cluster ID: 409826, Size: 1
Cluster ID: 403571, Size: 1
Cluster ID: 398285, Size: 1
Cluster ID: 396256, Size: 1
Cluster ID: 388942, Size: 1
Cluster ID: 387598, Size: 1
Cluster ID: 384733, Size: 1
Cluster ID: 384060, Size: 1
Cluster ID: 410259, Size: 1
Cluster ID: 409695, Size: 1
Cluster ID: 410186, Size: 2
Cluster ID: 402509, Size: 2
Cluster ID: 400338, Size: 1
Cluster ID: 399374, Size: 1
Cluster ID: 400882, Size: 1
Cluster ID: 393048, Size: 1
Cluster ID: 395996, Size: 1
Cluster ID: 391055, Size: 1
Cluster ID: 390129, Size: 1
Cluster ID: 388460, Size: 1
Cluster ID: 386237, Size: 1
Cluster ID: 386181, Size: 1
Cluster ID: 390989, Size: 1
Cluster ID: 384934, Size: 1
Cluster ID: 405785, Size: 1
Cluster ID: 407322, Size: 1
Cluster ID: 401610, Size: 1
Cluster ID: 399783, Size: 1
Cluster ID: 399063, Size: 1
Cluster ID: 398280, Size: 1
Cluster ID: 397845, Size: 1
Cluster ID: 397414, Size: 1
Cluster ID: 398857, Size: 1
Cluster ID: 402310, Size: 2
Cluster ID: 394493, Size: 1
Cluster ID: 390523, Size: 1
Cluster ID: 385401, Size: 1
Cluster ID: 384581, Size: 1
Cluster ID: 387858, Size: 1
Cluster ID: 382226, Size: 1
Cluster ID: 381476, Size: 1
Cluster ID: 408546, Size: 1
Cluster ID: 405977, Size: 1
Cluster ID: 399621, Size: 1
Cluster ID: 399202, Size: 1
Cluster ID: 398114, Size: 1
Cluster ID: 397980, Size: 1
Cluster ID: 397242, Size: 1
Cluster ID: 394817, Size: 1
Cluster ID: 393732, Size: 1
Cluster ID: 396921, Size: 1
Cluster ID: 391475, Size: 1
Cluster ID: 391459, Size: 1
Cluster ID: 389358, Size: 2
Cluster ID: 386902, Size: 1
Cluster ID: 386363, Size: 1
Cluster ID: 384951, Size: 1
Cluster ID: 383956, Size: 1
Cluster ID: 383875, Size: 1
Cluster ID: 383657, Size: 1
Cluster ID: 381386, Size: 1
