Cluster Size, Frequency
1, 31050818
2, 1159521
3, 213535
4, 79715
5, 40710
6, 24377
7, 16003
8, 11188
9, 8188
10, 6291
11, 4774
12, 4043
13, 3152
14, 2606
15, 2109
16, 1825
17, 1545
18, 1393
19, 1172
20, 1037
21, 958
22, 847
23, 702
24, 672
25, 631
26, 569
27, 483
28, 459
29, 430
30, 366
31, 341
32, 328
33, 319
34, 285
35, 259
36, 233
37, 242
38, 216
39, 195
40, 165
41, 152
42, 149
43, 155
44, 129
45, 132
46, 146
47, 123
48, 116
49, 108
50, 92
51, 80
52, 95
53, 77
54, 72
55, 83
56, 74
57, 73
58, 64
59, 60
60, 64
61, 42
62, 31
63, 55
64, 58
65, 47
66, 47
67, 50
68, 45
69, 38
70, 41
71, 36
72, 48
73, 48
74, 36
75, 23
76, 30
77, 32
78, 27
79, 22
80, 25
81, 31
82, 27
83, 23
84, 30
85, 19
86, 29
87, 26
88, 24
89, 22
90, 24
91, 17
92, 16
93, 20
94, 23
95, 18
96, 11
97, 19
98, 20
99, 12
100, 8
101, 13
102, 20
103, 16
104, 12
105, 13
106, 8
107, 13
108, 9
109, 16
110, 7
111, 14
112, 14
113, 8
114, 16
115, 11
116, 11
117, 7
118, 10
119, 13
120, 14
121, 9
122, 11
123, 12
124, 9
125, 8
126, 12
127, 5
128, 8
129, 9
130, 9
131, 7
132, 7
133, 10
134, 9
135, 4
136, 10
137, 7
138, 4
139, 1
140, 5
141, 11
142, 8
143, 9
144, 8
145, 8
146, 11
147, 7
148, 5
149, 10
150, 3
151, 5
152, 6
153, 9
154, 5
155, 5
156, 4
157, 2
158, 6
159, 4
160, 4
161, 7
162, 1
163, 3
164, 6
165, 9
166, 8
167, 1
168, 2
169, 4
170, 2
171, 3
172, 7
173, 5
174, 9
175, 2
176, 4
177, 2
178, 3
179, 2
180, 7
182, 3
184, 3
185, 2
186, 7
187, 6
188, 4
189, 6
190, 6
191, 2
192, 1
193, 3
194, 2
195, 2
196, 2
197, 7
198, 6
199, 1
200, 4
201, 6
202, 5
203, 3
204, 1
205, 1
206, 3
207, 3
208, 3
210, 2
211, 2
212, 1
213, 3
214, 4
215, 2
216, 2
217, 1
219, 5
220, 4
221, 2
222, 2
223, 3
225, 1
226, 2
227, 2
228, 2
229, 1
230, 3
231, 1
232, 4
233, 1
234, 4
235, 2
236, 4
237, 1
238, 2
239, 4
240, 1
242, 1
243, 1
244, 3
246, 1
247, 1
249, 1
250, 2
252, 2
253, 2
254, 1
255, 2
256, 1
257, 1
258, 1
260, 1
261, 1
262, 2
263, 1
264, 5
265, 1
266, 1
267, 2
271, 1
272, 1
273, 2
274, 3
275, 1
276, 1
280, 1
281, 1
282, 2
283, 2
284, 2
286, 2
288, 1
289, 3
290, 1
291, 1
293, 2
294, 1
296, 2
297, 1
298, 2
299, 2
300, 3
304, 1
305, 2
306, 1
307, 1
308, 1
310, 1
311, 1
312, 2
313, 1
315, 1
316, 1
317, 1
318, 1
319, 1
321, 1
322, 1
323, 1
324, 1
326, 2
327, 1
328, 1
329, 2
330, 1
334, 1
335, 2
336, 1
337, 3
338, 1
339, 2
340, 3
341, 1
342, 1
343, 4
344, 1
347, 1
349, 1
352, 1
354, 2
355, 1
357, 1
358, 2
362, 1
363, 1
366, 1
367, 1
368, 1
372, 1
373, 1
375, 2
381, 1
384, 2
385, 2
386, 1
392, 1
394, 1
396, 1
397, 1
399, 1
400, 1
401, 1
402, 1
404, 1
406, 1
407, 1
408, 1
409, 1
410, 2
414, 1
417, 3
418, 1
420, 1
422, 1
424, 1
425, 1
426, 1
428, 1
429, 2
431, 1
432, 1
437, 1
438, 1
439, 1
441, 2
445, 1
447, 2
450, 1
455, 1
456, 1
458, 1
459, 1
460, 1
463, 1
470, 1
475, 1
481, 1
488, 1
494, 1
497, 1
499, 1
508, 1
513, 2
514, 1
515, 1
517, 1
521, 2
524, 1
526, 1
531, 1
532, 1
533, 3
536, 1
542, 2
545, 2
551, 1
552, 1
554, 1
565, 1
568, 1
574, 1
585, 1
591, 1
592, 2
594, 1
605, 1
618, 1
621, 1
623, 1
624, 1
629, 1
630, 1
639, 1
656, 1
660, 2
668, 1
673, 1
676, 1
704, 1
711, 1
721, 1
732, 1
740, 1
753, 1
763, 1
764, 1
771, 1
789, 1
809, 1
822, 1
823, 1
825, 1
833, 1
846, 1
854, 1
865, 1
870, 1
894, 1
906, 1
915, 1
927, 1
936, 1
948, 1
955, 1
980, 2
1044, 1
1049, 1
1089, 1
1090, 1
1197, 1
1295, 1
1323, 1
1385, 1
1467, 1
1547, 1
1655, 1



